Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 3, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'SSL', 'short_window_frac': 32}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 4,194,304
  lm_head                 : 2,097,152
  transformer_matrices    : 1,966,336
  scalars                 : 6
  total                   : 10,354,950
Estimated FLOPs per token: 3.106560e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.010937 | lrm: 1.00 | dt: 1208ms | tok/sec: 27,126 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.953341 | lrm: 1.00 | dt: 760ms | tok/sec: 43,101 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.736033 | lrm: 1.00 | dt: 765ms | tok/sec: 42,842 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.436051 | lrm: 1.00 | dt: 775ms | tok/sec: 42,287 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.132675 | lrm: 1.00 | dt: 768ms | tok/sec: 42,682 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.857538 | lrm: 1.00 | dt: 776ms | tok/sec: 42,249 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.628935 | lrm: 1.00 | dt: 752ms | tok/sec: 43,552 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.442322 | lrm: 1.00 | dt: 746ms | tok/sec: 43,947 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.266189 | lrm: 1.00 | dt: 778ms | tok/sec: 42,094 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.118390 | lrm: 1.00 | dt: 773ms | tok/sec: 42,391 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.996894 | lrm: 1.00 | dt: 762ms | tok/sec: 43,026 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.878456 | lrm: 1.00 | dt: 780ms | tok/sec: 42,032 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 6.783588 | lrm: 1.00 | dt: 781ms | tok/sec: 41,973 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00013 (0.5%) | loss: 6.691325 | lrm: 1.00 | dt: 785ms | tok/sec: 41,754 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00014 (0.8%) | loss: 6.604988 | lrm: 1.00 | dt: 780ms | tok/sec: 41,995 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00015 (1.0%) | loss: 6.529998 | lrm: 1.00 | dt: 755ms | tok/sec: 43,390 | mfu: 0.1% | epoch: 1 | remaining: 296s    
step 00016 (1.3%) | loss: 6.450977 | lrm: 1.00 | dt: 756ms | tok/sec: 43,368 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00017 (1.5%) | loss: 6.384171 | lrm: 1.00 | dt: 773ms | tok/sec: 42,415 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00071 (15.4%) | loss: 5.273704 | lrm: 1.00 | dt: 781ms | tok/sec: 41,958 | mfu: 0.1% | epoch: 1 | remaining: 253s    
step 00072 (15.7%) | loss: 5.267833 | lrm: 1.00 | dt: 775ms | tok/sec: 42,263 | mfu: 0.1% | epoch: 1 | remaining: 252s    
step 00073 (15.9%) | loss: 5.251640 | lrm: 1.00 | dt: 776ms | tok/sec: 42,218 | mfu: 0.1% | epoch: 1 | remaining: 251s    
step 00074 (16.2%) | loss: 5.241171 | lrm: 1.00 | dt: 783ms | tok/sec: 41,860 | mfu: 0.1% | epoch: 1 | remaining: 251s    
step 00075 (16.4%) | loss: 5.230732 | lrm: 1.00 | dt: 785ms | tok/sec: 41,724 | mfu: 0.1% | epoch: 1 | remaining: 250s    
step 00076 (16.7%) | loss: 5.232256 | lrm: 1.00 | dt: 788ms | tok/sec: 41,591 | mfu: 0.1% | epoch: 1 | remaining: 249s    
step 00077 (17.0%) | loss: 5.224947 | lrm: 1.00 | dt: 789ms | tok/sec: 41,524 | mfu: 0.1% | epoch: 1 | remaining: 248s    
step 00078 (17.2%) | loss: 5.212192 | lrm: 1.00 | dt: 752ms | tok/sec: 43,594 | mfu: 0.1% | epoch: 1 | remaining: 248s    
step 00079 (17.5%) | loss: 5.197153 | lrm: 1.00 | dt: 781ms | tok/sec: 41,975 | mfu: 0.1% | epoch: 1 | remaining: 247s    
step 00080 (17.7%) | loss: 5.199343 | lrm: 1.00 | dt: 779ms | tok/sec: 42,060 | mfu: 0.1% | epoch: 1 | remaining: 246s    
step 00081 (18.0%) | loss: 5.191317 | lrm: 1.00 | dt: 743ms | tok/sec: 44,084 | mfu: 0.1% | epoch: 1 | remaining: 245s    
step 00082 (18.2%) | loss: 5.180653 | lrm: 1.00 | dt: 744ms | tok/sec: 44,054 | mfu: 0.1% | epoch: 1 | remaining: 245s    
step 00083 (18.5%) | loss: 5.176991 | lrm: 1.00 | dt: 746ms | tok/sec: 43,897 | mfu: 0.1% | epoch: 1 | remaining: 244s    
step 00084 (18.7%) | loss: 5.163878 | lrm: 1.00 | dt: 775ms | tok/sec: 42,296 | mfu: 0.1% | epoch: 1 | remaining: 243s    
step 00085 (19.0%) | loss: 5.160750 | lrm: 1.00 | dt: 777ms | tok/sec: 42,150 | mfu: 0.1% | epoch: 1 | remaining: 242s    
step 00086 (19.3%) | loss: 5.150324 | lrm: 1.00 | dt: 746ms | tok/sec: 43,937 | mfu: 0.1% | epoch: 1 | remaining: 242s    
step 00087 (19.5%) | loss: 5.152656 | lrm: 1.00 | dt: 740ms | tok/sec: 44,262 | mfu: 0.1% | epoch: 1 | remaining: 241s    
step 00088 (19.7%) | loss: 5.144373 | lrm: 1.00 | dt: 744ms | tok/sec: 44,058 | mfu: 0.1% | epoch: 1 | remaining: 240s    
step 00089 (20.0%) | loss: 5.138895 | lrm: 1.00 | dt: 743ms | tok/sec: 44,100 | mfu: 0.1% | epoch: 1 | remaining: 239s    
step 00090 (20.2%) | loss: 5.127658 | lrm: 1.00 | dt: 749ms | tok/sec: 43,721 | mfu: 0.1% | epoch: 1 | remaining: 239s    
step 00091 (20.5%) | loss: 5.114583 | lrm: 1.00 | dt: 776ms | tok/sec: 42,244 | mfu: 0.1% | epoch: 1 | remaining: 238s    
step 00092 (20.8%) | loss: 5.111689 | lrm: 1.00 | dt: 779ms | tok/sec: 42,067 | mfu: 0.1% | epoch: 1 | remaining: 237s    
step 00093 (21.0%) | loss: 5.108816 | lrm: 1.00 | dt: 745ms | tok/sec: 43,979 | mfu: 0.1% | epoch: 1 | remaining: 236s    
step 00094 (21.3%) | loss: 5.088752 | lrm: 1.00 | dt: 748ms | tok/sec: 43,779 | mfu: 0.1% | epoch: 1 | remaining: 235s    
step 00095 (21.5%) | loss: 5.085914 | lrm: 1.00 | dt: 743ms | tok/sec: 44,116 | mfu: 0.1% | epoch: 1 | remaining: 235s    
step 00096 (21.8%) | loss: 5.082195 | lrm: 1.00 | dt: 745ms | tok/sec: 43,990 | mfu: 0.1% | epoch: 1 | remaining: 234s    
step 00097 (22.0%) | loss: 5.068019 | lrm: 1.00 | dt: 742ms | tok/sec: 44,171 | mfu: 0.1% | epoch: 1 | remaining: 233s    
step 00098 (22.3%) | loss: 5.066884 | lrm: 1.00 | dt: 748ms | tok/sec: 43,800 | mfu: 0.1% | epoch: 1 | remaining: 232s    
step 00099 (22.5%) | loss: 5.052742 | lrm: 1.00 | dt: 744ms | tok/sec: 44,055 | mfu: 0.1% | epoch: 1 | remaining: 232s    
step 00100 (22.7%) | loss: 5.033506 | lrm: 1.00 | dt: 746ms | tok/sec: 43,950 | mfu: 0.1% | epoch: 1 | remaining: 231s    
step 00101 (23.0%) | loss: 5.022468 | lrm: 1.00 | dt: 743ms | tok/sec: 44,082 | mfu: 0.1% | epoch: 1 | remaining: 230s    
step 00102 (23.2%) | loss: 5.006385 | lrm: 1.00 | dt: 744ms | tok/sec: 44,027 | mfu: 0.1% | epoch: 1 | remaining: 230s    
step 00103 (23.5%) | loss: 4.992978 | lrm: 1.00 | dt: 741ms | tok/sec: 44,208 | mfu: 0.1% | epoch: 1 | remaining: 229s    
step 00104 (23.7%) | loss: 4.989213 | lrm: 1.00 | dt: 740ms | tok/sec: 44,289 | mfu: 0.1% | epoch: 1 | remaining: 228s    
step 00105 (24.0%) | loss: 4.984213 | lrm: 1.00 | dt: 741ms | tok/sec: 44,197 | mfu: 0.1% | epoch: 1 | remaining: 227s    
step 00106 (24.2%) | loss: 4.978013 | lrm: 1.00 | dt: 741ms | tok/sec: 44,201 | mfu: 0.1% | epoch: 1 | remaining: 227s    
step 00107 (24.5%) | loss: 4.964400 | lrm: 1.00 | dt: 744ms | tok/sec: 44,023 | mfu: 0.1% | epoch: 1 | remaining: 226s    
step 00108 (24.7%) | loss: 4.956667 | lrm: 1.00 | dt: 750ms | tok/sec: 43,690 | mfu: 0.1% | epoch: 1 | remaining: 225s    
step 00109 (25.0%) | loss: 4.956017 | lrm: 1.00 | dt: 743ms | tok/sec: 44,112 | mfu: 0.1% | epoch: 1 | remaining: 224s    
step 00110 (25.2%) | loss: 4.956821 | lrm: 1.00 | dt: 746ms | tok/sec: 43,940 | mfu: 0.1% | epoch: 1 | remaining: 224s    
step 00111 (25.5%) | loss: 4.945187 | lrm: 1.00 | dt: 741ms | tok/sec: 44,229 | mfu: 0.1% | epoch: 1 | remaining: 223s    
step 00112 (25.7%) | loss: 4.949820 | lrm: 1.00 | dt: 746ms | tok/sec: 43,935 | mfu: 0.1% | epoch: 1 | remaining: 222s    
step 00113 (26.0%) | loss: 4.948272 | lrm: 1.00 | dt: 740ms | tok/sec: 44,263 | mfu: 0.1% | epoch: 1 | remaining: 221s    
step 00114 (26.2%) | loss: 4.937974 | lrm: 1.00 | dt: 743ms | tok/sec: 44,099 | mfu: 0.1% | epoch: 1 | remaining: 221s    
step 00115 (26.5%) | loss: 4.920814 | lrm: 1.00 | dt: 745ms | tok/sec: 43,995 | mfu: 0.1% | epoch: 1 | remaining: 220s    
step 00116 (26.7%) | loss: 4.901440 | lrm: 1.00 | dt: 746ms | tok/sec: 43,912 | mfu: 0.1% | epoch: 1 | remaining: 219s    
step 00117 (27.0%) | loss: 4.890917 | lrm: 1.00 | dt: 745ms | tok/sec: 43,965 | mfu: 0.1% | epoch: 1 | remaining: 218s    
step 00118 (27.2%) | loss: 4.879469 | lrm: 1.00 | dt: 748ms | tok/sec: 43,822 | mfu: 0.1% | epoch: 1 | remaining: 218s    
step 00119 (27.5%) | loss: 4.871247 | lrm: 1.00 | dt: 743ms | tok/sec: 44,114 | mfu: 0.1% | epoch: 1 | remaining: 217s    
step 00120 (27.7%) | loss: 4.855522 | lrm: 1.00 | dt: 754ms | tok/sec: 43,435 | mfu: 0.1% | epoch: 1 | remaining: 216s    
step 00121 (28.0%) | loss: 4.854643 | lrm: 1.00 | dt: 741ms | tok/sec: 44,212 | mfu: 0.1% | epoch: 1 | remaining: 215s    
step 00122 (28.2%) | loss: 4.842825 | lrm: 1.00 | dt: 772ms | tok/sec: 42,459 | mfu: 0.1% | epoch: 1 | remaining: 215s    
step 00123 (28.5%) | loss: 4.834219 | lrm: 1.00 | dt: 746ms | tok/sec: 43,901 | mfu: 0.1% | epoch: 1 | remaining: 214s    
step 00124 (28.7%) | loss: 4.817100 | lrm: 1.00 | dt: 751ms | tok/sec: 43,628 | mfu: 0.1% | epoch: 1 | remaining: 213s    
step 00125 (29.0%) | loss: 4.817073 | lrm: 1.00 | dt: 745ms | tok/sec: 43,999 | mfu: 0.1% | epoch: 1 | remaining: 212s    
step 00126 (29.2%) | loss: 4.797780 | lrm: 1.00 | dt: 741ms | tok/sec: 44,211 | mfu: 0.1% | epoch: 1 | remaining: 212s    
step 00127 (29.5%) | loss: 4.790818 | lrm: 1.00 | dt: 743ms | tok/sec: 44,110 | mfu: 0.1% | epoch: 1 | remaining: 211s    
step 00128 (29.7%) | loss: 4.777383 | lrm: 1.00 | dt: 743ms | tok/sec: 44,092 | mfu: 0.1% | epoch: 1 | remaining: 210s    
step 00129 (30.0%) | loss: 4.763515 | lrm: 1.00 | dt: 745ms | tok/sec: 43,977 | mfu: 0.1% | epoch: 1 | remaining: 209s    
step 00130 (30.2%) | loss: 4.754359 | lrm: 1.00 | dt: 759ms | tok/sec: 43,148 | mfu: 0.1% | epoch: 1 | remaining: 209s    
step 00131 (30.5%) | loss: 4.729724 | lrm: 1.00 | dt: 775ms | tok/sec: 42,273 | mfu: 0.1% | epoch: 1 | remaining: 208s    
step 00132 (30.7%) | loss: 4.715504 | lrm: 1.00 | dt: 750ms | tok/sec: 43,680 | mfu: 0.1% | epoch: 1 | remaining: 207s    
step 00133 (31.0%) | loss: 4.703941 | lrm: 1.00 | dt: 748ms | tok/sec: 43,789 | mfu: 0.1% | epoch: 1 | remaining: 206s    
step 00134 (31.2%) | loss: 4.701630 | lrm: 1.00 | dt: 755ms | tok/sec: 43,424 | mfu: 0.1% | epoch: 1 | remaining: 206s    
step 00135 (31.5%) | loss: 4.697060 | lrm: 1.00 | dt: 750ms | tok/sec: 43,703 | mfu: 0.1% | epoch: 1 | remaining: 205s    
step 00136 (31.7%) | loss: 4.692595 | lrm: 1.00 | dt: 748ms | tok/sec: 43,796 | mfu: 0.1% | epoch: 1 | remaining: 204s    
step 00137 (32.0%) | loss: 4.684378 | lrm: 1.00 | dt: 752ms | tok/sec: 43,578 | mfu: 0.1% | epoch: 1 | remaining: 203s    
step 00138 (32.2%) | loss: 4.666070 | lrm: 1.00 | dt: 774ms | tok/sec: 42,314 | mfu: 0.1% | epoch: 1 | remaining: 203s    
step 00139 (32.5%) | loss: 4.643752 | lrm: 1.00 | dt: 779ms | tok/sec: 42,045 | mfu: 0.1% | epoch: 1 | remaining: 202s    
step 00140 (32.7%) | loss: 4.633454 | lrm: 1.00 | dt: 785ms | tok/sec: 41,756 | mfu: 0.1% | epoch: 1 | remaining: 201s    
step 00141 (33.0%) | loss: 4.623118 | lrm: 1.00 | dt: 772ms | tok/sec: 42,454 | mfu: 0.1% | epoch: 1 | remaining: 200s    
step 00142 (33.3%) | loss: 4.627861 | lrm: 1.00 | dt: 774ms | tok/sec: 42,334 | mfu: 0.1% | epoch: 1 | remaining: 199s    
step 00143 (33.5%) | loss: 4.623082 | lrm: 1.00 | dt: 757ms | tok/sec: 43,292 | mfu: 0.1% | epoch: 1 | remaining: 199s    
step 00144 (33.8%) | loss: 4.623352 | lrm: 1.00 | dt: 771ms | tok/sec: 42,473 | mfu: 0.1% | epoch: 1 | remaining: 198s    
step 00145 (34.0%) | loss: 4.613810 | lrm: 1.00 | dt: 771ms | tok/sec: 42,504 | mfu: 0.1% | epoch: 1 | remaining: 197s    
step 00146 (34.3%) | loss: 4.611783 | lrm: 1.00 | dt: 780ms | tok/sec: 41,986 | mfu: 0.1% | epoch: 1 | remaining: 196s    
step 00147 (34.5%) | loss: 4.599247 | lrm: 1.00 | dt: 769ms | tok/sec: 42,611 | mfu: 0.1% | epoch: 1 | remaining: 196s    
step 00148 (34.8%) | loss: 4.582415 | lrm: 1.00 | dt: 747ms | tok/sec: 43,870 | mfu: 0.1% | epoch: 1 | remaining: 195s    
step 00149 (35.0%) | loss: 4.574840 | lrm: 1.00 | dt: 764ms | tok/sec: 42,893 | mfu: 0.1% | epoch: 1 | remaining: 194s    
step 00150 (35.3%) | loss: 4.562348 | lrm: 1.00 | dt: 772ms | tok/sec: 42,439 | mfu: 0.1% | epoch: 1 | remaining: 193s    
